Establishment Name,English Synonyms,Arabic Synonyms,Cleansing Synonyms,
كنتاكي,KFC,كي اف سي ,,
بيتزا هت,There is  no Synonym available,There is  no Synonym available,,
شركة الامارات للوجبات السريعة (ذ.م.م) - ماكدونالدز,MAC,ماك,شركة الامارات للوجبات السريعة ماكدونالدز,
هارديز,There is  no Synonym available,There is  no Synonym available,,
برجر كينج - تكساس تشيكن - فرع فيرست فود سيرفيسيز (ذ.م.م),There is  no Synonym available,There is  no Synonym available,برجر كينج تكساس تشيكن ,
مطعم الفروج الطازج,Al Farooj Fresh Chicken Restaurant,مطعم الفروج الطازج,,
مطعم الخروف الذهبي,There is  no Synonym available,There is  no Synonym available,,
مصرف ابوظبي الاسلامي - مركز الاتصال - البدالة,ADIB Call Center,اديب بنك,مصرف ابوظبي الاسلامي ,
وزارة الداخلية,There is  no Synonym available,الداخلية,,
مطعم بحر الامارات,There is  no Synonym available,There is  no Synonym available,,
مركز تنظيم النقل بسيارات الأجرة - ترانساد - أبوظبي والعين,Abu Dhabi Taxi ,تاكسي ابوظبي,مركز تنظيم النقل بسيارات الأجرة ترانساد أبوظبي والعين,
استعلامات ,Call Center ,بدالة,استعلامات,
مؤسسة الانصاري للصرافة,There is  no Synonym available,There is  no Synonym available,,
العربية للطيران,There is  no Synonym available,There is  no Synonym available,,
مطعم ومشاوي البيت اللبناني,There is  no Synonym available,There is  no Synonym available,,
مطعم وكافيتيريا زهرة لبنان - مركز الاتصال,There is  no Synonym available,There is  no Synonym available,مطعم وكافيتيريا زهرة لبنان ,
صيدلية العين,There is  no Synonym available,There is  no Synonym available,,
مستشفى ميديكلينك - مركز الاتصال,There is  no Synonym available,There is  no Synonym available,مستشفى ميديكلينك ,
بنك الخليج الأول - بنك ابوظبي الأول - مركز الاتصال,First Abu Dhabi Bank FAB,بنك ابوظبي الاول مركز الاتصال البدالة - اف اي بي - فاب,بنك الخليج الأول بنك ابوظبي الأول ,
طيران الامارات - مركز الاتصال,There is  no Synonym available,There is  no Synonym available,طيران الامارات ,
دائرة الطيران المدني - مطار دبي,There is  no Synonym available,There is  no Synonym available,دائرة الطيران المدني مطار دبي,
مطعم الكوخ الذهبي -فرع,There is  no Synonym available,There is  no Synonym available,مطعم الكوخ الذهبي ,
بابا جونز,There is  no Synonym available,There is  no Synonym available,,
تاكسي دبي,There is  no Synonym available,There is  no Synonym available,,
القيادة العامة لشرطة أبوظبي,There is  no Synonym available,القيادة,,
مستشفى برجيل (ذ.م.م) - الفرع الرئيسي - البدالة,There is  no Synonym available,There is  no Synonym available,مستشفى برجيل ,
كافتيريا الملاح,Al Mallah Restaurant,مطعم الملاح,,
طيران الاتحاد,There is  no Synonym available,There is  no Synonym available,,
مطعم ملك الدجاج الطازج,,,,
مطعم عروس دمشق,There is  no Synonym available,There is  no Synonym available,,
مطعم الفوار,Al Fawar Restaurant & Cafeteria,مطعم وكافيتريا الفوار,,
كافيتريا البستان,Al Bustan Restaurant,مطعم البستان,,
فطائر الخليج,There is  no Synonym available,There is  no Synonym available,,
اوسكار سينما (ذ.م.م),There is  no Synonym available,There is  no Synonym available,اوسكار سينما ,
مطعم ربوع لبنان,There is  no Synonym available,There is  no Synonym available,,
مطعم ملك البروستد والشاورما,There is  no Synonym available,There is  no Synonym available,,
هيئة الطرق والمواصل,RTA,هيئة الطرق - ار تي أي,,
مطعم وحلويات الملاح,There is  no Synonym available,There is  no Synonym available,,
مطعم ومشاوي ليوان منصور (ذ.م.م),There is  no Synonym available,There is  no Synonym available,مطعم ومشاوي ليوان منصور ,
مطعم عمر الخيام,There is  no Synonym available,There is  no Synonym available,,
مطعم هف اند بف برجر - مركز الاتصال,There is  no Synonym available,There is  no Synonym available,مطعم هف اند بف برجر ,
مرطبات تذكار,Thadkar Cafteria,كافتيريا تذكار,,
مطعم الروضة,There is  no Synonym available,There is  no Synonym available,,
مطعم أبو علي,Abu Ali Cafteria,كافتيريا أبو علي - بوعلي,,
مطعم السلام,Al Salam Cafteria,كافتيريا السلام ,,
مركز الهناء الثقافي,Al Hanaa Institution,معهد الهناء الثقافي,,
مطعم وكافتيريا البيت الشامي فرع 1,There is  no Synonym available,There is  no Synonym available,مطعم وكافتيريا البيت الشامي ,
مكتبة دبي للتوزيع,Dubai Stationery,قرطاسية دبي,,
مطعم وكافيتريا النعمان,There is  no Synonym available,There is  no Synonym available,,
كافتيريا راشد علي,There is  no Synonym available,There is  no Synonym available,,
مركز الامارات العربية المتحدة للصرافة (ذ.م.م),UAE Exchange,مركز الامارات للصرافة ,مركز الامارات العربية المتحدة للصرافة ,
كافيتريا السراب,There is  no Synonym available,There is  no Synonym available,,
مروش للماكولات والمرطبات,Maroosh Restaurants,مطعم مروش,,
كافيتيريا دنيا الشام,There is  no Synonym available,There is  no Synonym available,,
مطعم الشوكة الذهبية,There is  no Synonym available,There is  no Synonym available,,
كافتيريا الراعي,There is  no Synonym available,There is  no Synonym available,,
كافتيريا جست برجر ذ.م.م - فرع زاخر,There is  no Synonym available,There is  no Synonym available,كافتيريا جست برجر ,
القيادة العامة لشرطة دبي,Dubai Police,القيادة - شرطة دبي,,
مطعم وكافتيريا عيش وملح,There is  no Synonym available,There is  no Synonym available,,
مطعم صدف (ذ.م.م),There is  no Synonym available,There is  no Synonym available,مطعم صدف ,
مطعم بوبايز - مركز الاتصال,There is  no Synonym available,There is  no Synonym available,مطعم بوبايز ,
مصرف الهلال - البدالة الرئيسية - مركز الاتصال,There is  no Synonym available,الهلال بنك ,مصرف الهلال ,
كافيتيريا جرافيتي برجر,There is  no Synonym available,There is  no Synonym available,,
كوخ الدجاج,There is  no Synonym available,There is  no Synonym available,,
فندق ايلا جراند (ذ.م.م) - فرع الكويتات,There is  no Synonym available,There is  no Synonym available,فندق ايلا جراند ,
بنك دبي الاسلامي,DIB Bank,دي أي بي بنك,,
مطعم ومشاوي انوار لبنان,There is  no Synonym available,There is  no Synonym available,,
هوت برجر للوجبات السريعة,There is  no Synonym available,There is  no Synonym available,,
مطعم كل واشرب,Eat & Drink Cafeteria,كافتيريا كل و اشرب,,
مطعم وادي العرايش,Wadi Al Araish cafeteria,كافتيريا وادي العرايش,,
مطعم وكافيتيريا كرم الشام - مدينة شخبوط - خليفة ب,There is  no Synonym available,There is  no Synonym available,مطعم وكافيتيريا كرم الشام مدينة شخبوط خليفة ب,
ونش لحمل ونقل السيارات - لقط,Winch Cars Towing -Recovery ,"ونش لسحب السيارات -,ونش لحمل و نقل السيارات ",ونش لحمل ونقل السيارات لقط,
كافتيريا نجوم نوف,There is  no Synonym available,There is  no Synonym available,,
مطعم الامور اكسبرس,There is  no Synonym available,There is  no Synonym available,,
